target,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,0.6666666666666667,0.5588235294117647,1.0,0.1,0.2501375591504347,0.0,1.0,1.0,0.6666666666666667,0.0,1.0,1.0,0.6607142857142858,1.0,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.044117647058823525,1.0,0.30000000000000004,0.02641135688345989,1.0,1.0,1.0,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.48214285714285715,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0
1,0.6666666666666667,0.1176470588235294,0.5,0.2,0.1101023440079234,0.0,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,0.48214285714285715,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
1,0.0,0.029411764705882346,1.0,0.30000000000000004,0.09392538791680423,0.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.6666666666666667,0.21428571428571425,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.0,0.47058823529411764,0.5,0.1,0.2884890502916254,0.0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,1.0,0.41071428571428575,1.0,1.0,0.0,0.6666666666666667,1.0,0.0,0.0
0,0.0,0.38235294117647056,0.5,0.2,0.11863101133487398,0.0,0.75,1.0,0.3333333333333333,0.0,1.0,0.0,0.07142857142857145,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
0,1.0,0.20588235294117646,0.5,0.30000000000000004,0.010069329811819083,0.0,0.0,0.6666666666666667,0.3333333333333333,0.5,1.0,0.0,0.0535714285714286,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
0,0.3333333333333333,0.07352941176470588,0.5,0.2,0.039011775063277215,0.0,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666667,0.17857142857142855,0.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.07352941176470588,0.5,0.9,0.0627819962583911,0.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
1,0.3333333333333333,0.029411764705882346,0.5,0.5,0.011224826675470454,0.0,0.25,0.6666666666666667,1.0,0.0,0.0,0.3333333333333333,0.0535714285714286,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
1,1.0,0.2941176470588235,1.0,0.30000000000000004,0.10856168152305491,0.25,1.0,1.0,0.6666666666666667,0.0,1.0,0.3333333333333333,0.5892857142857142,0.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
0,1.0,0.2941176470588235,0.5,0.30000000000000004,0.18548475844613185,0.25,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,0.6666666666666667,0.21428571428571425,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.16176470588235292,1.0,0.30000000000000004,0.1363486299108617,1.0,0.75,1.0,0.6666666666666667,1.0,0.3333333333333333,0.0,0.28571428571428575,0.0,0.5,0.6666666666666667,0.6666666666666667,0.0,1.0,0.0
0,0.3333333333333333,0.2941176470588235,0.5,0.1,0.21255639925167824,0.5,0.25,0.6666666666666667,0.3333333333333333,0.0,1.0,0.6666666666666667,0.16071428571428575,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
0,0.0,0.2941176470588235,0.5,0.2,0.11604489930670188,0.25,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25000000000000006,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.25,1.0,0.2,0.11213821943435677,0.0,0.25,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.07142857142857145,1.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
0,0.0,0.2941176470588235,1.0,0.0,0.052217453505007144,0.0,1.0,1.0,0.6666666666666667,0.0,1.0,0.6666666666666667,0.7321428571428572,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
1,1.0,0.029411764705882346,0.5,0.1,0.05425332893144051,0.5,0.5,0.3333333333333333,0.6666666666666667,0.0,1.0,0.3333333333333333,0.5535714285714286,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.2941176470588235,0.5,0.30000000000000004,0.056564322658743255,0.0,1.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.30357142857142855,1.0,0.5,0.0,1.0,0.0,1.0,0.0
1,0.3333333333333333,0.20588235294117646,0.75,0.9,0.11978650819852536,1.0,1.0,1.0,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.41071428571428575,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
0,0.0,0.20588235294117646,0.5,0.2,0.121712336304611,0.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.3333333333333333,0.6666666666666667,0.0535714285714286,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
0,0.6666666666666667,0.07352941176470588,0.0,0.30000000000000004,0.05981071860900186,0.0,0.25,1.0,0.6666666666666667,0.0,0.3333333333333333,0.6666666666666667,0.26785714285714285,1.0,0.5,0.3333333333333333,1.0,0.0,1.0,0.0
1,1.0,0.044117647058823525,0.75,0.30000000000000004,0.03279410146362936,1.0,1.0,0.6666666666666667,0.6666666666666667,0.0,1.0,1.0,0.30357142857142855,1.0,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.20588235294117646,0.5,0.6000000000000001,0.05441839991196214,1.0,0.5,1.0,0.6666666666666667,0.0,1.0,1.0,0.75,1.0,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.25,0.75,0.1,0.1509298998569385,0.0,0.5,0.6666666666666667,0.6666666666666667,0.0,0.3333333333333333,0.0,0.16071428571428575,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
0,0.0,0.029411764705882346,0.5,0.6000000000000001,0.010894684714427203,0.0,0.25,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.07142857142857145,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.8235294117647058,0.75,0.30000000000000004,0.4900957411687025,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.3333333333333333,1.0,0.14285714285714285,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1.0,0.20588235294117646,1.0,0.0,0.04429404643996919,0.0,0.25,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.19642857142857145,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.20588235294117646,0.5,0.30000000000000004,0.16303510509519095,0.5,0.25,0.0,1.0,0.0,0.6666666666666667,0.0,0.10714285714285715,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.2941176470588235,1.0,0.1,0.41311764058545175,0.75,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,1.0,0.17857142857142855,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.0,0.13235294117647056,1.0,0.9,0.08512160228898426,0.0,0.25,0.6666666666666667,0.6666666666666667,0.0,0.0,0.3333333333333333,0.16071428571428575,0.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
0,0.0,0.47058823529411764,0.5,0.2,0.1354682513480797,0.0,1.0,0.3333333333333333,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.39285714285714285,0.0,0.5,0.0,0.6666666666666667,1.0,0.0,0.0
1,0.3333333333333333,0.07352941176470588,1.0,0.2,0.09183448883019699,0.0,0.75,1.0,0.6666666666666667,0.0,0.6666666666666667,0.6666666666666667,0.28571428571428575,1.0,0.0,0.0,0.6666666666666667,0.0,1.0,0.0
1,1.0,0.23529411764705882,1.0,0.0,0.1780015406624849,1.0,0.25,0.3333333333333333,0.0,0.0,1.0,0.0,0.44642857142857145,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,1.0,0.0
0,0.3333333333333333,0.25,0.5,0.9,0.05161219324309453,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,0.35714285714285715,1.0,0.5,0.0,0.6666666666666667,1.0,0.0,0.0
1,1.0,0.1176470588235294,1.0,0.2,0.055463849455265765,0.0,0.25,0.3333333333333333,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0535714285714286,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
1,0.0,0.058823529411764705,1.0,1.0,0.05029162539892153,0.0,1.0,0.6666666666666667,0.6666666666666667,0.0,1.0,1.0,0.5714285714285714,0.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.0
1,0.3333333333333333,0.1176470588235294,1.0,0.30000000000000004,0.18284362275778587,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.07142857142857145,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
1,1.0,0.5588235294117647,1.0,0.2,0.20859469571915926,0.5,0.5,1.0,0.6666666666666667,0.0,1.0,0.0,0.30357142857142855,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,1.0,0.0
1,1.0,0.1176470588235294,0.5,0.1,0.24347969626939586,1.0,0.25,0.0,0.3333333333333333,0.0,1.0,0.6666666666666667,0.01785714285714285,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.20588235294117646,0.75,0.0,0.14575767580059426,1.0,1.0,1.0,0.6666666666666667,0.0,1.0,0.6666666666666667,0.42857142857142855,1.0,0.5,0.0,0.6666666666666667,1.0,0.0,0.0
1,0.3333333333333333,0.2941176470588235,1.0,0.30000000000000004,0.08215032463959503,0.0,1.0,1.0,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.5178571428571428,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
0,0.0,0.25,0.25,0.0,0.07686805326290305,1.0,0.5,1.0,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.37499999999999994,0.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0
1,1.0,0.47058823529411764,1.0,0.1,0.5627269725982172,1.0,1.0,0.3333333333333333,0.6666666666666667,0.0,1.0,1.0,0.41071428571428575,1.0,1.0,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.38235294117647056,0.75,0.9,0.12396830637173985,0.25,1.0,1.0,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.39285714285714285,0.5,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.1176470588235294,0.5,0.30000000000000004,0.04632992186640256,0.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.0,0.5357142857142858,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,1.0,0.0
1,0.6666666666666667,0.1176470588235294,1.0,0.0,0.06767910201386595,0.5,0.0,0.3333333333333333,0.6666666666666667,0.0,1.0,1.0,0.8392857142857144,0.0,1.0,0.6666666666666667,0.0,0.0,0.0,0.0
1,0.6666666666666667,0.1176470588235294,0.5,0.30000000000000004,0.05760977220204688,0.0,0.5,0.6666666666666667,1.0,0.0,1.0,0.0,0.07142857142857145,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.10294117647058824,1.0,0.0,0.06289204357873886,0.0,0.25,1.0,0.3333333333333333,0.0,1.0,0.6666666666666667,0.28571428571428575,1.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0
1,0.6666666666666667,0.2941176470588235,1.0,0.2,0.18526466380543635,1.0,1.0,1.0,0.6666666666666667,0.5,1.0,1.0,0.01785714285714285,1.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.07352941176470588,0.5,0.0,0.18306371739848135,0.25,0.5,0.0,0.6666666666666667,1.0,0.3333333333333333,0.0,0.125,1.0,0.0,0.0,0.6666666666666667,1.0,0.0,1.0
0,0.3333333333333333,0.47058823529411764,0.0,0.9,0.09370529327610873,0.0,1.0,1.0,0.6666666666666667,0.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0,0.3333333333333333,0.07352941176470588,1.0,0.6000000000000001,0.06883459887751733,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666667,0.6666666666666667,0.26785714285714285,1.0,0.5,0.3333333333333333,1.0,0.0,1.0,0.0
0,1.0,0.338235294117647,0.5,0.0,0.12765489160338947,0.0,0.5,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666667,0.0,0.035714285714285754,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.0,0.1176470588235294,0.5,0.0,0.09040387366567623,0.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.17857142857142855,1.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
0,0.3333333333333333,0.47058823529411764,0.5,0.5,0.11742049081104876,0.0,0.25,1.0,0.6666666666666667,0.0,0.0,1.0,0.25000000000000006,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
1,1.0,0.07352941176470588,0.5,0.30000000000000004,0.13772422141520854,0.25,1.0,0.6666666666666667,0.6666666666666667,0.5,1.0,0.6666666666666667,0.28571428571428575,1.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
1,0.0,0.029411764705882346,1.0,0.0,0.019753494002421042,0.0,0.75,1.0,0.3333333333333333,0.0,0.6666666666666667,0.3333333333333333,0.32142857142857145,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
0,0.3333333333333333,0.1176470588235294,0.0,0.2,0.1496093320127655,0.0,0.25,1.0,0.3333333333333333,0.0,0.6666666666666667,0.3333333333333333,0.10714285714285715,1.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.38235294117647056,1.0,0.30000000000000004,0.23550126554418402,0.0,0.75,1.0,0.3333333333333333,0.0,1.0,0.6666666666666667,0.125,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1,0.3333333333333333,0.16176470588235292,0.5,0.5,0.0695499064597777,0.25,0.5,1.0,0.6666666666666667,1.0,0.3333333333333333,0.0,0.0535714285714286,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.1176470588235294,0.5,0.6000000000000001,0.06289204357873886,0.0,1.0,1.0,0.6666666666666667,0.0,1.0,0.3333333333333333,0.49999999999999994,0.0,0.5,0.6666666666666667,0.6666666666666667,1.0,1.0,0.0
0,0.3333333333333333,0.16176470588235292,0.25,0.0,0.055793991416309016,0.25,0.5,0.3333333333333333,1.0,0.0,0.3333333333333333,0.3333333333333333,0.10714285714285715,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
0,1.0,0.25,0.75,0.9,0.12820512820512822,0.5,0.25,1.0,0.6666666666666667,0.0,0.3333333333333333,0.0,0.39285714285714285,0.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.0
1,1.0,0.029411764705882346,0.5,0.2,0.15010454495433037,0.5,0.5,0.0,0.6666666666666667,0.0,0.3333333333333333,0.6666666666666667,0.23214285714285715,1.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
1,1.0,0.2941176470588235,0.5,0.0,0.05496863651370089,0.0,0.25,1.0,1.0,0.0,0.3333333333333333,0.0,0.16071428571428575,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.1176470588235294,0.5,0.9,0.045449543303620554,0.0,0.5,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.125,1.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
1,1.0,0.1176470588235294,1.0,0.0,0.05529877847474414,0.0,1.0,1.0,0.6666666666666667,0.0,1.0,0.0,0.75,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
1,1.0,0.0,1.0,0.30000000000000004,0.06894464619786508,0.0,0.75,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,0.41071428571428575,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0
1,1.0,0.2941176470588235,1.0,0.30000000000000004,0.0880928799383735,0.0,0.75,1.0,1.0,1.0,0.3333333333333333,0.6666666666666667,0.25000000000000006,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,1.0,0.0
1,0.6666666666666667,0.1176470588235294,0.5,0.2,0.06459777704412897,1.0,1.0,0.6666666666666667,0.3333333333333333,0.0,1.0,0.0,0.6428571428571428,1.0,0.5,0.0,1.0,0.0,1.0,0.0
1,1.0,0.2941176470588235,0.5,0.0,0.39303400462198745,0.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.3333333333333333,0.42857142857142855,1.0,0.5,0.0,0.3333333333333333,1.0,0.0,0.0
1,1.0,0.1176470588235294,1.0,0.2,0.09271486739297898,0.0,1.0,1.0,0.6666666666666667,0.0,1.0,0.0,0.42857142857142855,1.0,0.5,0.6666666666666667,0.6666666666666667,0.0,1.0,0.0
1,1.0,0.2941176470588235,0.5,0.30000000000000004,0.05838010344448112,0.25,0.75,1.0,1.0,0.0,0.6666666666666667,0.3333333333333333,0.125,1.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
0,0.0,0.1176470588235294,0.5,0.0,0.053813139650049524,0.0,0.5,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0892857142857143,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
1,1.0,0.16176470588235292,0.5,0.2,0.10652580609662154,1.0,0.75,0.0,0.3333333333333333,0.0,1.0,0.0,0.25000000000000006,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
1,1.0,0.20588235294117646,0.5,0.30000000000000004,0.09909761197314845,0.0,0.25,1.0,0.6666666666666667,0.0,0.0,0.0,0.25000000000000006,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
0,0.3333333333333333,0.2941176470588235,0.5,0.30000000000000004,0.09843732805106195,0.0,0.25,0.0,1.0,0.0,0.0,0.3333333333333333,0.0535714285714286,1.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
0,1.0,0.07352941176470588,0.5,0.30000000000000004,0.0675690546935182,0.0,0.75,1.0,0.6666666666666667,0.0,0.3333333333333333,0.6666666666666667,0.0535714285714286,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.6666666666666667,0.2941176470588235,0.5,0.30000000000000004,0.2697259821723341,0.0,0.75,1.0,0.6666666666666667,0.0,0.3333333333333333,0.6666666666666667,0.10714285714285715,0.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
0,0.3333333333333333,0.16176470588235292,0.75,0.5,0.06943985913942995,0.75,0.5,0.6666666666666667,1.0,0.0,0.6666666666666667,0.3333333333333333,0.75,0.5,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
1,0.3333333333333333,0.07352941176470588,0.5,0.2,0.09794211510949709,1.0,0.75,0.3333333333333333,0.6666666666666667,0.0,0.0,0.6666666666666667,0.0892857142857143,1.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
1,0.0,0.1176470588235294,1.0,0.0,0.10570045119401342,0.0,0.5,1.0,0.6666666666666667,0.0,1.0,0.3333333333333333,0.33928571428571425,0.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0
1,0.3333333333333333,0.07352941176470588,0.5,0.30000000000000004,0.05260261912622427,0.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.0,0.10714285714285715,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.6666666666666667,0.2941176470588235,0.5,0.30000000000000004,0.055463849455265765,0.5,0.5,0.6666666666666667,0.3333333333333333,0.0,0.6666666666666667,0.6666666666666667,0.6785714285714286,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
0,0.3333333333333333,0.1176470588235294,0.5,0.30000000000000004,0.3421371189611533,1.0,0.0,0.3333333333333333,0.6666666666666667,0.0,0.0,1.0,0.5892857142857142,1.0,0.5,0.0,1.0,0.0,1.0,0.0
1,0.0,0.029411764705882346,1.0,0.2,0.08924837680202487,0.0,0.0,1.0,0.6666666666666667,0.0,1.0,1.0,0.30357142857142855,1.0,1.0,0.6666666666666667,1.0,0.0,1.0,0.0
1,1.0,0.2941176470588235,0.5,0.8,0.03780125453945196,0.0,0.25,1.0,1.0,0.0,0.6666666666666667,0.6666666666666667,0.14285714285714285,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
1,0.3333333333333333,0.20588235294117646,0.5,0.5,0.1992956971497744,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.6666666666666667,0.8571428571428572,1.0,0.5,0.0,0.6666666666666667,0.0,1.0,0.0
0,0.0,0.1176470588235294,0.25,0.30000000000000004,0.10448993067018818,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.17857142857142855,1.0,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.0,0.338235294117647,0.5,0.30000000000000004,0.17420490811048753,0.0,0.5,0.6666666666666667,0.6666666666666667,0.0,0.3333333333333333,0.6666666666666667,0.14285714285714285,1.0,0.5,0.0,1.0,0.0,0.0,0.0
0,0.0,0.20588235294117646,0.5,0.0,0.05315285572796302,0.0,0.25,1.0,0.3333333333333333,0.0,0.6666666666666667,0.6666666666666667,0.07142857142857145,1.0,0.0,0.0,0.6666666666666667,0.0,1.0,0.0
1,1.0,0.2941176470588235,0.75,0.9,0.19880048420820953,0.0,0.5,0.0,0.6666666666666667,0.0,0.3333333333333333,1.0,0.23214285714285715,1.0,1.0,0.0,0.6666666666666667,0.0,0.0,0.0
0,0.3333333333333333,0.1176470588235294,0.5,0.0,0.05749972488169913,0.0,0.25,0.6666666666666667,0.3333333333333333,0.0,0.0,0.6666666666666667,0.10714285714285715,1.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.6666666666666667,0.5588235294117647,0.0,0.9,0.3322878837900297,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.25000000000000006,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
0,0.3333333333333333,0.38235294117647056,1.0,0.0,0.2200396170353252,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666667,0.16071428571428575,1.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0
1,1.0,0.2941176470588235,1.0,0.1,0.10713106635853417,1.0,0.75,1.0,0.6666666666666667,0.0,1.0,0.6666666666666667,0.42857142857142855,1.0,0.5,0.3333333333333333,0.6666666666666667,1.0,1.0,0.0
0,1.0,0.08823529411764706,0.5,0.0,0.05827005612413337,1.0,0.5,1.0,0.6666666666666667,1.0,1.0,0.3333333333333333,0.14285714285714285,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
0,1.0,0.20588235294117646,1.0,0.0,0.0704302850225597,0.0,0.5,0.6666666666666667,0.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.23214285714285715,0.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.47058823529411764,0.5,0.1,0.4337515131506548,0.0,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.19642857142857145,0.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,0.0,0.6323529411764706,0.5,0.0,0.5762077693408165,0.0,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,0.28571428571428575,1.0,0.5,0.0,0.3333333333333333,0.0,1.0,0.0
1,1.0,0.16176470588235292,1.0,0.6000000000000001,0.07054033234290745,0.25,0.5,1.0,0.3333333333333333,0.0,0.6666666666666667,0.6666666666666667,0.21428571428571425,1.0,0.5,0.0,0.6666666666666667,0.0,0.0,0.0
1,1.0,0.1176470588235294,0.5,0.30000000000000004,0.15456146142841423,0.75,0.75,0.3333333333333333,0.0,0.0,1.0,0.0,0.75,1.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0
